DCA License Number,License Type,License Expiration Date,License Status,License Creation Date,Industry,Business Name,Business Name 2,Address Building,Address Street Name,Secondary Address Street Name,Address City,Address State,Address ZIP,Contact Phone Number,Address Borough,Borough Code,Community Board,Council District,BIN,BBL,NTA,Census Tract,Detail,Longitude,Latitude,Location
1394098-DCA,Business,2022-12-31,Active,6/1/11,Tobacco Retail Dealer,HALSEY SUPERMARKET DELI CORP.,,169,HALSEY ST,,BROOKLYN,NY,11216,718-622-4259,Brooklyn,3.0,303.0,36.0,3052690.0,3018380046.0,BK75,249.0,,-73.94707507,40.68213221,"(40.68213221261493, -73.94707507223367)"
1043782-DCA,Business,2022-12-31,Active,11/30/00,Tobacco Retail Dealer,"SALEH, FAISUL T",NOSTRAND DELI & GROCERY,669,NOSTRAND AVE,,BROOKLYN,NY,11216,718-953-1714,Brooklyn,3.0,308.0,36.0,3030990.0,3012270001.0,BK61,31701.0,,-73.95005896,40.67444269,"(40.674442689003634, -73.95005896262542)"
2060628-2-DCA,Business,2022-12-31,Active,11/13/17,Tobacco Retail Dealer,THUNDER DELI CORP,,725,NOSTRAND AVE,,BROOKLYN,NY,11216,718-484-8138,Brooklyn,3.0,308.0,35.0,3031915.0,3012480008.0,BK61,31702.0,,-73.95025156,40.67239517,"(40.67239516966863, -73.95025155866516)"
1473360-DCA,Business,2022-12-31,Active,9/12/13,Tobacco Retail Dealer,ONE STOP TO SHOP GOURMET & DELI CORP,,1339,FULTON ST,,BROOKLYN,NY,11216,718-783-2383,Brooklyn,3.0,303.0,36.0,3053248.0,3018490035.0,BK75,249.0,,-73.9480031,40.68031285,"(40.680312851038515, -73.94800310083563)"
2049010-2-DCA,Business,2022-12-31,Active,3/2/17,Tobacco Retail Dealer,NEW WAY NATURAL MARKET AND DELI CORP,,390,TOMPKINS AVE,,BROOKLYN,NY,11216,347-885-1100,Brooklyn,3.0,303.0,36.0,3338716.0,3018340035.0,BK75,267.0,,-73.94403776,40.68391213,"(40.68391213302259, -73.94403775899217)"
2059587-2-DCA,Business,2022-12-31,Inactive,10/19/17,Tobacco Retail Dealer,GATE FINEST DELI CORP,,318,TOMPKINS AVE,,BROOKLYN,NY,11216,631-992-0203,Brooklyn,3.0,303.0,36.0,3051170.0,3018140031.0,BK75,265.0,,-73.94461226,40.68679442,"(40.68679442152985, -73.94461225818598)"
2099856-2-DCA,Business,2022-12-31,Active,7/2/21,Tobacco Retail Dealer,FULTON DELI AND SMOKE SHOP CORP,,1403,FULTON ST,,BROOKLYN,NY,11216,9173914851,Brooklyn,3.0,303.0,36.0,3053471.0,3018540061.0,,,,-73.94506844,40.68015504,"(40.68015503534684, -73.9450684449953)"
1221510-DCA,Business,2022-12-31,Inactive,3/21/06,Tobacco Retail Dealer,DEAN DELI GROCERY CORP.,,1050,DEAN ST,,BROOKLYN,NY,11216,718-399-9978,Brooklyn,3.0,308.0,35.0,3030246.0,3012110009.0,BK61,221.0,,-73.95505714,40.67748596,"(40.67748596060282, -73.95505714467012)"
2099566-2-DCA,Business,2022-12-31,Active,6/21/21,Tobacco Retail Dealer,JAYRAN DELI GROCERY INC,,1050,DEAN ST,,BROOKLYN,NY,11216,347-495-4662,Brooklyn,3.0,308.0,35.0,3030246.0,3012110009.0,,,,-73.95505714,40.67748596,"(40.67748596060282, -73.95505714467012)"
2098906-2-DCA,Business,2022-12-31,Active,5/25/21,Tobacco Retail Dealer,613 FRESH DELI AND GROCERY CORP,,613,NOSTRAND AVE,,BROOKLYN,NY,11216,6462676105,Brooklyn,3.0,308.0,36.0,3337844.0,3012130001.0,,,,-73.9498918,40.676213,"(40.67621299633303, -73.94989179930965)"
2083558-2-DCA,Business,2022-12-31,Active,3/22/19,Tobacco Retail Dealer,TONY DELI GROCERY 1 CORP.,,1478,BEDFORD AVE,,BROOKLYN,NY,11216,929-363-4953,Brooklyn,3.0,308.0,35.0,3031803.0,3012450038.0,BK61,219.0,,-73.95437548,40.6726247,"(40.6726246953942, -73.9543754757304)"
2059582-2-DCA,Business,2022-12-31,Active,10/19/17,Tobacco Retail Dealer,GREENLAND MINI MARKET DELI INC,,784,MARCY AVE,,BROOKLYN,NY,11216,646-208-8716,Brooklyn,3.0,303.0,36.0,3322225.0,3018080051.0,BK75,251.0,,-73.94753641,40.68692205,"(40.68692205131839, -73.94753641166716)"
2090468-2-DCA,Business,2022-12-31,Active,9/12/19,Tobacco Retail Dealer,367 FAMOUS DELI CORP,,753,MARCY AVE,,BROOKLYN,NY,11216,3475539923,Brooklyn,3.0,303.0,36.0,3050418.0,3017990001.0,BK75,263.0,,-73.947759,40.68815181,"(40.68815181005619, -73.94775900442599)"
1257496-DCA,Business,2022-12-31,Active,6/1/07,Tobacco Retail Dealer,"ALREZAKI, AHMED A & ALZOOKARI, MUGALLI S",CROWN HEIGHTS DELI & GROCERY,117,ROGERS AVE,,BROOKLYN,NY,11216,7184673471,Brooklyn,3.0,308.0,36.0,3031491.0,3012400010.0,BK61,31701.0,,-73.95293652,40.67343657,"(40.67343656942923, -73.95293651891095)"
2011041-1-DCA,Business,2021-12-31,Active,7/22/14,Tobacco Retail Dealer,PAPA DELI & GROCERY CORP.,,849,MARCY AVE,,BROOKLYN,NY,11216,718-230-4044,Brooklyn,3.0,303.0,36.0,3322392.0,3018290005.0,BK75,267.0,,-73.94698324,40.68427035,"(40.6842703482155, -73.94698323520508)"
2046032-1-DCA,Business,2021-12-31,Active,11/30/16,Tobacco Retail Dealer,NOSTRAND FINEST DELI INC,,792,NOSTRAND AVE,,BROOKLYN,NY,11216,347-725-8563,Brooklyn,3.0,308.0,35.0,3032243.0,3012540037.0,BK61,31702.0,,-73.95035676,40.67150591,"(40.67150590758534, -73.95035676440332)"
2082032-1-DCA,Business,2021-12-31,Active,2/6/19,Tobacco Retail Dealer,S GOURMET DELI CORP,,1558,FULTON ST,,BROOKLYN,NY,11216,,Brooklyn,3.0,303.0,36.0,3338777.0,3018640035.0,BK61,271.0,,-73.9387197,40.67979501,"(40.67979500866878, -73.93871970236303)"
2095489-1-DCA,Business,2021-12-31,Inactive,3/23/20,Tobacco Retail Dealer,"GREEN PARK GOURMET DELI, INC",,264,TOMPKINS AVE,,BROOKLYN,NY,11216,6462350383,Brooklyn,3.0,303.0,36.0,3050449.0,3017990042.0,,,,-73.94504674,40.68899319,"(40.68899319146262, -73.94504674049102)"
2076764-1-DCA,Business,2021-12-31,Active,8/7/18,Tobacco Retail Dealer,JHOAN & BROTHER DELI GROCERY CORP,,759,DEKALB AVE,,BROOKLYN,NY,11216,3473183670,Brooklyn,3.0,303.0,36.0,3049501.0,3017750046.0,BK75,261.0,,-73.94622345,40.69197731,"(40.691977312521956, -73.94622344915649)"
2080593-1-DCA,Business,2021-12-31,Inactive,12/10/18,Tobacco Retail Dealer,PRINCESS DELI AND SMOKE SHOP CORP,,1318,FULTON ST,,BROOKLYN,NY,11216,718-484-2222,Brooklyn,3.0,303.0,36.0,3053757.0,3018610019.0,BK61,247.0,,-73.94817977,40.68030744,"(40.68030744119197, -73.94817976904972)"
2066589-1-DCA,Business,2021-12-31,Inactive,2/23/18,Tobacco Retail Dealer,BRKLYN DELI AND GRILL CORP,BROOKLYN GOURMET MARKET,1181,BEDFORD AVE,,BROOKLYN,NY,11216,3476276888,Brooklyn,3.0,303.0,36.0,3329696.0,3018270002.0,BK75,245.0,,-73.95383474,40.68302443,"(40.6830244295472, -73.95383474133375)"
1359661-DCA,Business,2021-12-31,Active,6/21/10,Tobacco Retail Dealer,SUPER EXPRESS DELI & GROCERY CORP. I,,1205,BEDFORD AVE,,BROOKLYN,NY,11216,718-399-2828,Brooklyn,3.0,303.0,36.0,3322555.0,3018320097.0,BK75,245.0,,-73.95367305,40.68222838,"(40.68222838047677, -73.9536730453112)"
2043166-1-DCA,Business,2021-12-31,Inactive,9/1/16,Tobacco Retail Dealer,1403 FULTON GOURMET DELI CORP,,1403,FULTON ST,,BROOKLYN,NY,11216,347-613-9562,Brooklyn,3.0,303.0,36.0,3053471.0,3018540061.0,BK75,269.0,,-73.94506844,40.68015504,"(40.68015503534684, -73.9450684449953)"
2097367-1-DCA,Business,2021-12-31,Active,12/30/20,Tobacco Retail Dealer,ALSQER DELI & GROCERY CORP,,496,NOSTRAND AVE,,BROOKLYN,NY,11216,6315079949,Brooklyn,3.0,303.0,36.0,3052610.0,3018370058.0,,,,-73.9499055,40.68196879,"(40.68196879328704, -73.9499055017563)"
2068454-1-DCA,Business,2021-11-30,Active,3/28/18,Electronic Cigarette Dealer,MY BUS STOP DELI AND GROCERY CORP,,546A,NOSTRAND AVE,,BROOKLYN,NY,11216,929-299-9500,Brooklyn,3.0,303.0,36.0,3053724.0,3018600056.0,BK61,247.0,,-73.94958251,40.67998418,"(40.67998418109907, -73.94958250923996)"
2051985-2-DCA,Business,2020-12-31,Inactive,4/26/17,Tobacco Retail Dealer,BEDFORD DELI AND GROCERY CORP,,1478,BEDFORD AVE,,BROOKLYN,NY,11216,917-573-2755,Brooklyn,3.0,308.0,35.0,3031803.0,3012450038.0,BK61,219.0,,-73.95437548,40.6726247,"(40.6726246953942, -73.9543754757304)"
1211022-DCA,Business,2020-12-31,Inactive,9/26/05,Tobacco Retail Dealer,"KAID, AHMED M",TOMPKINS DELI GROCERY,264,TOMPKINS AVE,,BROOKLYN,NY,11216,718-360-7885,Brooklyn,3.0,303.0,36.0,3050449.0,3017990042.0,BK75,263.0,,-73.94504674,40.68899319,"(40.68899319146262, -73.94504674049102)"
1306164-DCA,Business,2020-12-31,Inactive,12/16/08,Tobacco Retail Dealer,G LINE DELI GROCERY INC,,292,NOSTRAND AVE,,BROOKLYN,NY,11216,718-636-3938,Brooklyn,3.0,303.0,36.0,3049897.0,3017880056.0,BK75,243.0,,-73.95146457,40.68981676,"(40.68981676356796, -73.95146456703722)"
2093313-2-DCA,Business,2020-12-31,Inactive,1/2/20,Tobacco Retail Dealer,NA ROCK  DELI CORP,,496,NOSTRAND AVE,,BROOKLYN,NY,11216,3478663347,Brooklyn,3.0,303.0,36.0,3052610.0,3018370058.0,,,,-73.9499055,40.68196879,"(40.68196879328704, -73.9499055017563)"
2053539-2-DCA,Business,2020-12-31,Inactive,5/25/17,Tobacco Retail Dealer,B DELI GROCERY CORP,,684,NOSTRAND AVE,,BROOKLYN,NY,11216,718-467-8195,Brooklyn,3.0,308.0,36.0,3030970.0,3012260041.0,BK61,31701.0,,-73.95002608,40.67502457,"(40.67502456711211, -73.9500260809846)"
2052492-2-DCA,Business,2020-12-31,Inactive,5/4/17,Tobacco Retail Dealer,KRISTAL DELI GROCERY NY CORP,,1565,FULTON ST,,BROOKLYN,NY,11216,718-221-2135,Brooklyn,3.0,303.0,36.0,3053680.0,3018580034.0,BK35,273.0,,-73.93883505,40.67981703,"(40.679817028236805, -73.93883505369406)"
2066793-1-DCA,Business,2019-12-31,Inactive,2/23/18,Tobacco Retail Dealer,BARCELONA  DELI AND GROCERY CORP,,496,NOSTRAND AVE,,BROOKLYN,NY,11216,631-746-7490,Brooklyn,3.0,303.0,36.0,3052610.0,3018370058.0,BK75,245.0,,-73.9499055,40.68196879,"(40.68196879328704, -73.9499055017563)"
2066670-1-DCA,Business,2019-12-31,Inactive,2/23/18,Tobacco Retail Dealer,MERIT DELI AND SMOKE SHOP CORP,,1318,FULTON ST,,BROOKLYN,NY,11216,929-355-1763,Brooklyn,3.0,303.0,36.0,3053757.0,3018610019.0,BK61,247.0,,-73.94817977,40.68030744,"(40.68030744119197, -73.94817976904972)"
2039601-1-DCA,Business,2019-12-31,Inactive,6/28/16,Tobacco Retail Dealer,FAMILY FOOD & DELI CORP,,1053,BEDFORD AVE,,BROOKLYN,NY,11216,718-789-2002,Brooklyn,3.0,303.0,36.0,3050325.0,3017970009.0,BK75,243.0,,-73.95478696,40.68781169,"(40.68781168955238, -73.95478696214188)"
2011197-1-DCA,Business,2019-12-31,Inactive,7/25/14,Tobacco Retail Dealer,J M DELI GROCERY CORP I,,1369,FULTON ST,,BROOKLYN,NY,11216,718-230-0086,Brooklyn,3.0,303.0,36.0,3053280.0,3018500037.0,BK75,249.0,,-73.94645645,40.68023254,"(40.68023254327992, -73.94645645386848)"
2066345-1-DCA,Business,2019-12-31,Inactive,2/20/18,Tobacco Retail Dealer,DEAN DELI CORPORATION,,628,NOSTRAND AVE,,BROOKLYN,NY,11216,718-820-6184,Brooklyn,3.0,308.0,36.0,3030004.0,3012060045.0,BK61,315.0,,-73.94984435,40.67698975,"(40.676989746923105, -73.94984434799078)"
2066039-1-DCA,Business,2019-12-31,Inactive,2/13/18,Tobacco Retail Dealer,753 FAMOUS DELI CORP,,753,MARCY AVE,,BROOKLYN,NY,11216,7186297003,Brooklyn,3.0,303.0,36.0,3050418.0,3017990001.0,BK75,263.0,,-73.947759,40.68815181,"(40.68815181005619, -73.94775900442599)"
1453015-DCA,Business,2019-12-31,Inactive,12/31/12,Tobacco Retail Dealer,RAJIH DELI AND GROCERY INC,,689A,NOSTRAND AVE,,BROOKLYN,NY,11216,347-698-5079,Brooklyn,3.0,308.0,36.0,3341625.0,3012340080.0,BK61,31701.0,,-73.9501244,40.67371261,"(40.6737126070741, -73.95012439987542)"
2006228-1383-DCA,Business,2019-12-31,Inactive,4/14/14,Tobacco Retail Dealer,367 deli and grocery inc,,367,LEXINGTON AVE,,BROOKLYN,NY,11216,718-975-3374,Brooklyn,3.0,303.0,36.0,3050418.0,3017990001.0,BK75,263.0,,-73.94748502,40.68808032,"(40.68808032130511, -73.94748501902926)"
2053835-2-DCA,Business,2018-12-31,Inactive,6/2/17,Tobacco Retail Dealer,K GOURMET DELI CORP,,1558,FULTON ST,,BROOKLYN,NY,11216,7182006185,Brooklyn,3.0,303.0,36.0,3338777.0,3018640035.0,BK61,271.0,,-73.9387197,40.67979501,"(40.67979500866878, -73.93871970236303)"
2028147-2-DCA,Business,2018-12-31,Inactive,9/8/15,Tobacco Retail Dealer,J.V. DELI & GROCERY CORP.,,925A,MARCY AVE,,BROOKLYN,NY,11216,917-607-6200,Brooklyn,3.0,303.0,36.0,3331201.0,3018510001.0,BK75,269.0,,-73.94641586,40.68139082,"(40.681390818778496, -73.94641586396304)"
1400210-DCA,Business,2018-12-31,Inactive,7/15/11,Tobacco Retail Dealer,NBA DELI AND GROCERY CORP,,496,NOSTRAND AVE,,BROOKLYN,NY,11216,347-413-7220,Brooklyn,3.0,303.0,36.0,3052610.0,3018370058.0,BK75,245.0,,-73.9499055,40.68196879,"(40.68196879328704, -73.9499055017563)"
2058481-2-DCA,Business,2018-12-31,Inactive,9/20/17,Tobacco Retail Dealer,SAKAFE DELI GROCERY CORP,,813,MARCY AVE,,BROOKLYN,NY,11216,718-484-4655,Brooklyn,3.0,303.0,36.0,3051455.0,3018190010.0,BK75,265.0,,-73.94727774,40.68573619,"(40.685736191780094, -73.94727773562067)"
2049021-2-DCA,Business,2018-12-31,Inactive,3/2/17,Tobacco Retail Dealer,GOURMET 438 DELI INC,,438,NOSTRAND AVE,,BROOKLYN,NY,11216,929-420-3587,Brooklyn,3.0,303.0,36.0,3338697.0,3018220058.0,BK75,245.0,,-73.95033296,40.68411265,"(40.684112646005126, -73.95033295685029)"
2059337-2-DCA,Business,2018-12-31,Inactive,10/13/17,Tobacco Retail Dealer,KARTER'S GROCERY & DELI INC,,350,TOMPKINS AVE,,BROOKLYN,NY,11216,7182005259,Brooklyn,3.0,303.0,36.0,3051462.0,3018190049.0,BK75,265.0,,-73.94437526,40.68561954,"(40.68561954494297, -73.94437525951625)"
2052741-2-DCA,Business,2018-12-31,Inactive,5/10/17,Tobacco Retail Dealer,FANTASTIC DELI GROCERY CORP,,925A,MARCY AVE,,BROOKLYN,NY,11216,347-627-3679,Brooklyn,3.0,303.0,36.0,3331201.0,3018510001.0,BK75,269.0,,-73.94641586,40.68139082,"(40.681390818778496, -73.94641586396304)"
1248248-DCA,Business,2018-12-31,Inactive,2/13/07,Tobacco Retail Dealer,SEVEN & ONE DELI GROCERY FULTON STREET CORP,,1521,FULTON ST,,BROOKLYN,NY,11216,718-778-4513,Brooklyn,3.0,303.0,36.0,3053619.0,3018570001.0,BK75,269.0,,-73.94045739,40.67990571,"(40.679905711966825, -73.9404573871347)"
2048789-2-DCA,Business,2018-12-31,Inactive,2/28/17,Tobacco Retail Dealer,GATES GOURMET DELI AND SUPER MARKET CORP,,349,NOSTRAND AVE,,BROOKLYN,NY,11216,929-283-1602,Brooklyn,3.0,303.0,36.0,3000000.0,3018087501.0,BK75,251.0,,-73.95074598,40.68631139,"(40.686311385808224, -73.95074597604938)"
2051395-2-DCA,Business,2018-12-31,Inactive,4/18/17,Tobacco Retail Dealer,SALMAN DELI CORP,,1274,FULTON ST,,BROOKLYN,NY,11216,718-484-1844,Brooklyn,3.0,303.0,36.0,3053721.0,3018600051.0,BK61,247.0,,-73.94989947,40.68040153,"(40.680401525131494, -73.94989946827623)"
